abandon 放弃
nationality 国籍；民族
nationwide 全国的
native 本国的
natural 自然的
nature 大自然
navy 海军
near 靠近
nearby 附近的
nearly 几乎
neat 整洁的
necessary 必要的
neck 脖；领口
necklace 项链
need 需要
needle 针
negotiate 协商
neighbour 邻居
neighbourhood 邻居
neither 两者都不
nephew 外甥
nervous 害怕的
nest 鸟巢
net 网
network 网络
never 从不
new 新的
newspaper 报纸
next 接下去
nice 美好的
niece 侄女
night 夜晚
noble 高贵的
nobody 没有人
nod 点头
noise 噪声
noisy 嘈杂的
noodle 面条
noon 正午
normal 正常的
north 北方
northeast 东北
northern 北方的
northwest 西北
nose 鼻子
not 不
note 记录
notebook 笔记簿
nothing 没有东西
notice 预告
novel 小说
novelist 小说家
now 现在
nowadays 现在
nowhere 任何地方都不
nuclear 核的
numb 麻木的
nurse 护士
nursery 托儿所
nut 干果
nutrition 营养
obey 服从
object 物体
observe 观察
obtain 获得
obvious 明显的
occupation 职业
occupy 占领
occur 发生；存在
ocean 海洋
oceania 大洋洲
off 在…外；在…前；离开；完
offense 进攻
offer 提供
office 办公室
officer 军官
official 公务的
offshore 近海的
often 常常
oil 油
oilfield 油田
old 老的
olympic 奥林匹克
once 一次
one 一
oneself 自己
onion 洋葱
only 唯一的
onto …之上
open 开放的
opening 开张
opera 歌剧
operate 手术；运转
operation 操作
operator 操作员
opinion 意见
oppose 反对
opposite 对立的
optimistic 乐观的
optional 可选择的
oral 口头的
orange 橙
orbit 轨道
order 命令
ordinary 普通的
organ 器官
organise 组织
organization 团体；组织
origin 起点
other 其他的
otherwise 否则
ought 应该
our 我们的
ours 我们的
ourselves 我们亲自
out 出去；全部
outcome 结果
outdoors 在户外
outer 外面的
outgoing 开朗的
outing 远足
outline 要点
output 产量；输出
outside 在外面
outspoken 直言的
outstanding 突出的
outward 外出的
oval 椭圆的
over 在…正上方；再一次
overcoat 大衣
overcome 战胜
overhead 头顶上的
overlook 忽视
overweight 超重的
owe 亏欠
own 自己的；拥有
owner 物主
ownership 所有权
ox 牛
oxygen 氧
pace 步子
pacific 和平的
pack 背包
package 包装
packet 小包
paddle 短浆
page 页
pain 痛苦
painful 痛苦的
paint 涂料
painter 画家
painting 绘画作品
pair 一对
palace 宫殿
pale 苍白的
pan 平底锅
pancake 薄煎饼
panda 熊猫
panic 惊慌
paper 纸
paperwork 文书工作
paragraph 段落
parallel 平行线
parcel 包囊
pardon 宽恕
parent 父母
park 公园
parking 停车
parrot 鹦鹉
part 一部分
participate 参加
particular 特定的；特别的
partly 部分地
partner 搭档
party 社交聚会
pass 经过
passage 通道
passenger 乘客
passive 被动的
passport 护照
past 以前的
patent 专利；明显的
path 小路
patience 耐性
patient 耐心；病人
pattern 形式
pause 停顿
pavement 人行道
pay 付给
pea 豌豆
peace 和平
peaceful 和平的
peach 桃
pear 梨
pedestrian 步行者
pen 钢笔
pence 便士
pencil 铅笔
penny 便士
pension 退休金
pepper 胡椒
per （数量、价格）每
percent 百分比
percentage 百分比
perfect 完美的
perform 执行
performance 演出
performer 表演者
perfume 香水
perhaps 大概
period 时期；句号
permanent 永久的；固定的
permission 许可
permit 许可
person 人
personal 私人的
personally 就自己而言
personnel 员工
persuade 说服
pest 有害的
pet 宠物
petrol 汽油
phenomenon 现象
photo 相片
photographer 摄影者
phrase 短语
physical 物质的
physician 内科医生
physicist 物理学家
physics 物理学
pianist 钢琴家
piano 钢琴
pick 采
picnic 野餐
picture 图画
pie 馅饼；派
piece 部分
pile 一堆
pill 药片
pillow 枕头
pilot 驾驶员
pin 大头针
pine 松树
pineapple 菠萝
pint 品脱
pioneer 开拓者
pipe 管子
pity 怜悯
place 地方
plain 清晰的；平原
plan 计划
plane 飞机
planet 行星
plant 植物
plastic 塑料
plate 盘子
platform 平台
play 游戏
playground 操场
pleasant 令人愉快的
pleased 自鸣得意的
pleasure 愉快
plenty 大量
plot 故事情节；计划；密谋
plug 插头
plus 加号
pocket 口袋
poem 诗
poet 诗人
point 要点
poison 毒药
poisonous 有害的
pole 磁极
police 警察
policeman 男警察
policewoman 女警察
policy 政策
polish 使光滑
polite 客气的
political 政治的
politician 政客
politics 政治学
pollute 污染
pollution 污染
pond 池塘
pool 水池
poor 贫穷的
popcorn 爆米花
popular 流行的
popular 流行的
population 人口
pork 猪肉
porridge 坐牢
port 港口
portable 手提的
porter 搬运工
position 方位
positive 积极的
possess 占据
possession 占有
possibility 可能性
possible 可能的
post 张贴；邮件
postage 邮费
postcard 明信片
postcode 邮政编码
poster 海报
postman 邮差
postpone 延期
pot 罐
potato 土豆
potential 潜在的
pound 英镑
pour 倾；倒
powder 粉末
power 权利
powerful 强健的
practical 实际的
practice 练习
practise 练习
praise 称赞
pray 祈祷
prayer 祈祷
precious 宝贵的
precise 准确的
predict 预言
prefer 更喜欢
preference 偏爱
pregnant 怀孕的；含蓄的
premier 总理
preparation 预备
prepare 准备
prescription 处方
presence 出席
present 出席的；现在
presentation 提供；显示；表演
preserve 保护
president 主席
press 压
pressure 压力
pretend 假装
pretty 漂亮的
prevent 预防
preview 预习
previous 先前的；过早的
pride 自豪
primary 首要的
primitive 原始的
principle 原理；准则
print 图案
prison 监狱
prisoner 犯人
private 私人的
privilege 特权
prize 奖金
probably 大概
problem 问题
procedure 程序
process 过程
produce 生产
product 产品
production 生产
profession 职业
professor 教授
profit 利润
programme 节目
progress 前进
prohibit 禁止
project 规划；课题
promise 允诺
promote 提升
pronounce 发音；宣布
pronunciation 发音
proper 适合的
properly 适当的
protect 保护
protection 保护
proud 自尊的
prove 证明
provide 提供
province 省份
psychology 心理学
pub 酒店
public 公众的
publish 出版；发布
pull 拉
pulse 脉搏
pump 泵
punctual 正点的
punctuation 标点
punish 处罚
punishment 处罚
pupil 学生
purchase 购买
pure 纯的
purple 紫色的
purpose 目的
purse 钱包；财产
push 推
put 放;置
puzzle 使迷惑
pyramid 金字塔；棱锥
quake 震动
qualification 资格；合格证书
quality 质量
quantity 数目
quarrel 争吵
quarter 四分之一
queen 女王
question 问题
questionnaire 调查卷
queue 行列
quick 快的
quiet 轻声的
quilt 被子
quit 离去
quite 完全地
quiz 问答比赛
rabbit 兔子
race 人种
racial 种族的
radiation 辐射
radio 收音机
radioactive 放射性的
radium 镭
rag 破布
rail 责备
railway 铁路
rain 雨
rainbow 彩虹
raincoat 雨衣
rainfall 下雨
rainy 下雨的
raise 举起
random 任意的
range 变化；一系列
rank 职衔
rapid 快的
rare 稀少的
rat 老鼠
rate 比率
rather 相当
raw 生的；天然的
ray 光束
razor 剃刀
reach 到达
react 影响
reading 读书
ready 准备就绪的
real 真实的
realise 意识到
reality 实际
really 真正地
reason 理由
reasonable 合理的
rebuild 重建
receipt 收据
receive 收到
receiver 接受者
recent 不久前的
reception 接待
receptionist 接待员
recipe 方法
recite 背诵；列举
recognise 识别
recommend 推荐；劝告
record 记录
recorder 录音机
recover 恢复
recreation 娱乐
rectangle 长方形
recycle 回收
reduce 减少
refer 提到；关系到
referee 裁判
reference 提及
reflect 反射
reform 改革
refresh 使恢复
refrigerator 冰箱
refrigerator 冰箱
refuse 拒绝
regard 注视
regardless 无论如何
register 记录
regret 痛惜
regular 有规律的
regulation 管理；规则
reject 拒绝
relate 讲述
relation 关系
relationship 关系
relative 亲戚
relax 使轻松
relay 接替；转达
relevant 有关的
reliable 可靠的
relief 减轻
religion 宗教
religious 宗教的
rely 依赖
remain 留下
remark 评论
remember 记得
remind 使想起
remote 遥远的；微小的
remove 移走
rent 租金
repair 修理
repeat 重述
replace 取代
reply 回答
report 报道
reporter 记者
represent 表现；代表
representative 代表
republic 共和国
reputation 名气
request 要求
require 命令；需求
requirement 要求
rescue 营救
research 研究
resemble 像…
reservation 预订
reserve 保护区
resign 辞职；放弃
resist 抵抗
respect 尊重
respond 回答；回应
responsibility 责任
rest 休息
restaurant 饭店
restriction 约束
result 结果
retell 重述
retire 退休
return 返回
review 检查
revision 修订
revolution 革命
reward 报酬
rewind 倒回
rice 大米
rich 贵重的
rid 摆脱
riddle 谜
ride 骑;乘
ridiculous 可笑的
right 正当的；向右
rigid 僵硬的；严格的
ripe 成熟的
ripen 成熟
rise 升高
risk 冒险；风险
river 河
road 路
roast 烤；嘲讽
rob 抢夺
robot 机器人
rock 岩石
rocket 火箭
role 作用
roll 滚动
roof 屋顶
room 房间
rooster 公鸡
root 根部
rope 绳索
rose 玫瑰
rot 腐烂
rough 粗糙的
round 到处
roundabout 绕道的
routine 惯例
row 一排
royal 国王的；大规模的
rubber 橡胶
rubbish 垃圾
rude 粗鲁的
rugby 橄榄球
ruin 毁灭
rule 规则
ruler 直尺
run 跑
rush 催促；冲
sacred 神圣的
sacrifice 牺牲
sad 难过的
sadness 悲伤
safe 安全的
safety 安全
sail 航程
sailor 水手
salad 沙拉
salary 薪水
sale 出售
salesman 销售员
saleswoman 女店员
salt 盐
salty 含盐的
salute 欢迎，赞扬
sand 沙子
sandwich 三明治
satellite 卫星
satisfaction 满足
satisfy 使满足
saucer 茶托
sausage 香肠
save 拯救；贮存
say 说
saying 俗话
scan 审查；扫描
scar 伤疤
scare 恐吓
scarf 围巾
scene 背景
scenery 风景
sceptical 怀疑的
schedule 安排；时间表
scholar 奖学金获得者；学者
scholarship 奖学金
school 学校
schoolbag 书包
schoolboy 男生
schoolgirl 女学生
schoolmate 同学
science 科学
scientific 科学的
scientist 科学家
scissors 剪刀
scold 责骂
score 分数
scratch 抓
scream 尖叫
screen 遮蔽；屏风
sculpture 雕刻
sea 海
seagull 海鸥
seal 海豹
search 寻找
seashell 贝壳
seaside 海边
season 季节
seat 座位
seaweed 海草
second 第二
secret 秘密
secretary 秘书
section 部门
secure 牢固的
security 安全
seek 寻找；企图
seem 好像
seize 抓住
seldom 很少
select 选择
self 自我
selfish 自私的
sell 卖
semicircle 半圆形
seminar 研讨班
send 送
senior 年长的
sense 感觉
sensitive 易受伤的；敏感的
sentence 句子
separate 分开
separation 分开
serious 严重的
servant 仆人
serve 向…供应
service 服务
session 开会；学年
set 放置
settle 安排
settlement 解决
settler 移民
several 几个
severe 严重的
sew 缝
sex 性别
shabby 卑鄙的
shade 遮光物
shadow 阴影；遮蔽
shake 摇动
shall 必将
shallow 浅的
shame 羞愧
shape 形状
share 分享
shark 鲨鱼
sharp 锋利的
sharpen 变得更好
sharpener 削刀
shave 削
shaver 剃刀
she 她
sheep 睡
sheet 纸片
shelf 架
shelter 保护
shine 发光
shirt 衬衫
shock 震动
shoe 鞋
shoot 射击
shop 商店
shopkeeper 店主
shopping 购物
shore 岸
short 短的
shortcoming 缺点
shortly 不久
shorts 短裤
shot 开枪
should 应该
shoulder 肩部
shout 喊叫
show 表现出
shower 淋浴
shrink 收缩
shut 关上
shuttle 航天飞机
shy 害羞的
sick 不舒服的
sickness 恶心
side 侧面
sideroad 人行道
sideway 岔路
sideways 斜着
sigh 叹气
sight 视力；风景
sightseeing 观光
signal 信号；暗号
signature 签名
significance 意义
silence 寂静
silent 寂静的
silk 丝
silly 蠢的
silver 银
similar 相似的
simple 简单的
simplify 简化
since 自从
sincerely 敬上
sing 唱歌
single 单一的
sink 下沉
sir 先生
sister 姐妹
sit 坐
situation 形势
size 尺寸
skate 溜冰
skatebroad 滑板
ski 滑雪
skill 技能
skillful 灵巧的
skin 皮肤
skip 跳
skirt 裙子
sky 天空
skyscraper 摩天大楼
slave 奴隶
slavery 奴隶身份
sleep 睡觉
sleepy 困的
sleeve 套管
slice 切
slide 滑落
slight 微小的
slim 苗条的
slip 滑
slow 慢的
small 小的
smart 聪明的
smell 闻
smile 微笑
smog 烟雾
smoke 烟
smoker 吸烟者
smooth 光滑的
snake 蛇
sneaker 运动鞋
sneeze 喷嚏
sniff 闻
snowy 多雪的
soap 肥皂
sob 哭
soccer 足球
social 社会的
socialism 社会主义
socialist 社会主义者
society 社团；社会
sock 短袜
socket 插座
sofa 沙发
soft 软的
software 软件
soil 泥土
solar 太阳的
soldier 士兵
solid 固体
somehow 某种方式
son 儿子
song 歌
soon 不久
sorrow 悲痛
sorry 对不起
sort 种类
soul 灵魂
sound 声音
soup 汤
sour 酸的
southeast 东南
southern 南方的
southwest 西南
souvenir 纪念品
sow 播种
space 空间
spaceship 宇宙飞船
spade 铲子
spare 多余的
sparrow 麻雀
speak 讲演
speaker 说话人
spear 鱼叉
special 特殊的
specialist 专家
speech 说话
spell 拼写
spelling 拼写
spend 花钱
spin 杜撰；使旋转
spirit 精神
spiritual 精神上的
spit 口水
splendid 极好的
split 使裂开
spoken 口头的
spokesman 发言人
spokeswoman 女发言人
sponsor 赞助
spoon 匙
spoonful 一匙量
sport 运动
spot 斑点
spray 浪花；喷雾
spread 伸开
spring 春天；泉
spy 间谍
square 正方形
squeeze 挤出；拥挤
squirrel 松鼠
stable 稳定的
stadium 体育场
staff 全体职员
stage 时期；舞台
stain 染色；褪色
stainless 无污点的；不锈钢的
stair 楼梯
stamp 邮票；图案
stand 站立
stand 站立
standard 标准
star 星
stare 瞪视
start 开始
starvation 饥饿
starve 饥饿
state 国家；政府
statement 声明
statesman 政治家
stateswoman 妇女政治家
station 车站
statistics 统计学
statue 雕像
status 地位；情况
stay 停留
steady 稳定的
steak 牛排
steal 偷
steam 蒸汽
steel 钢；使坚定
steep 浸
step 脚步
steward 服务员
stewardess 女管家
stick 粘贴
still 仍旧
stocking 长袜
stomach 胃
stone 石头
stop 停止
storage 贮存
store 贮存；商店
storm 暴风雪
story 故事
stout 结实的
stove 火炉
straight 直的
straightforward 笔直向前
strait 海峡；困难
strange 陌生的
stranger 陌生人
straw 稻草
strawberry 草莓
stream 小河；流动
street 大街
strength 力量
strengthen 加固
stress 压力
strict 严格的
strike 攻击
string 一系列
strong 强壮的
struggle 打斗
stubborn 顽固的
student 学生
studio 录音室
study 学习
stupid 笨的
style 风格
subject 学科；话题
subjective 主观的
submit 使服从；递交
subscribe 订购；捐助
substitute 代替
succeed 成功
success 成功
successful 成功的
suck 吮吸
sudden 突然的
suffer 容忍；受痛苦
suffering 苦难
sugar 糖
suggest 建议
suggestion 建议
suit 一套衣服
suitable 适当的
suitcase 手提箱
suite 套间
summary 摘要
summer 夏天
sun 太阳
sunburnt 晒黑的
sunlight 阳光
sunny 阳光明媚的
sunshine 阳光
super 极好的
superb 杰出的
superior 较好的
supermarket 超级市场
supper 晚餐
supply 供给
support 支持
suppose 猜想
supreme 最高的
sure 无疑的
surface 表面
surgeon 外科医生
surplus 过剩的
surprise 使惊奇
surround 包围
surrounding 环境
survival 生存
survive 幸存
suspect 猜疑
suspension 高架铁路
swallow 吞；咽
swap 交换
swear 诅咒
sweat 汗水
sweater 毛衣
sweep 打扫
sweet 甜的
swell 增强
swift 速度的
swim 游泳
swing 摇摆
switch 开关
sword 剑
symbol 象征；符号
sympathy 同情心
symphony 交响乐
symptom 症状
system 系统
systematic 有规律的
table 桌子
tablet 药片
tabletennis 乒乓球
tail 尾巴
tailor 裁缝
take 拿
tale 故事
talent 天才
talk 说话
tall 高的
tank 坦克
tap 塞子；拍
tape 带子
target 靶子；对象
task 工作
taste 尝
tasteless 无味的
tasty 美味的
tax 征税
taxi 出租车
taxpayer 纳税人
tea 茶
teach 教
teacher 教师
teamwork 协力配合
teapot 茶壶
tear 泪水
tease 取笑
technical 技术的
technique 技巧
technology 科技
teenager 青少年
telephone 电话
telescope 望远镜
television 电视
television 电视
tell 告诉
temperature 温度
temple 庙
temporary 临时的
tend 照顾
tendency 倾向
tennis 网球
tense 紧张的
tension 紧张
tent 帐篷
tentative 试验的
term 学期
terminal 终点
terrible 可怕的
terrify 使恐怖
terror 恐怖
test 测验
text 正文
textbook 课本
than 与…相比较
thank 谢谢
thankful 感谢的
theater 剧院
theft 偷窃
their 他们的
theirs 他们的
theme 主题
themselves 它们自己
then 那时
theoretical 理论的
theory 学说
there 在那里
therefore 因此
thermos 热
they 他们
thick 厚的；茂密的；明显的
thief 小偷
thin 瘦的
thing 东西
thinking 思考
thirst 渴
this 这个
thorough 彻底的
thosethat 的复数
though 虽然
thought 想法
thread 线；线索
thrill 使兴奋
thriller 令人兴奋的
throat 喉咙
through 通过；在…之中
throughout 在…期间
throw 投;掷
thunder 打雷
thunderstorm 雷电交加的暴风雨
thus 因此
tick 滴答声
ticket 票；标签
tidy 整洁的
tie 领带
tiger 老虎
tight 牢的
till 直到…为止
timetable 时间计划表
tin 锡
tiny 极小的
tip 末端；倾斜
tire 使疲劳
tired 疲倦的
tiresome 令人生厌的
tissue 组织；一套
title 题目
toast 吐司
tobacco 烟草
today 今天
together 在一起
toilet 洗手间
tolerate 容许；忍受
tomato 番茄
tomb 墓穴
tomorrow 明天
ton 吨
tongue 舌头
tonight 今晚
too 也
tool 工具
tooth 牙
toothache 牙痛
toothbrush 牙刷
toothpaste 牙膏
top 顶部
topic 题目
tortoise 乌龟
total 总计
touch 接触
tough 坚韧的
tour 旅行
tourism 旅游
tourist 旅行者
tournament 锦标赛
toward 向；朝
towel 毛巾
tower 塔
town 城镇
toy 玩具
track 足迹
tractor 拖拉机
trade 商业
tradition 传统
traditional 传统的
traffic 交通
train 火车
training 训练
tram 有轨电车
transform 改变
translate 翻译
translation 翻译
translator 翻译家
transparent 透明的
transport 运送
trap 陷阱
travel 旅行
traveller 旅行者
treasure 宝藏；重视
treat 款待
treatment 处理
tree 树
tremble 发抖
trend 趋向
trial 审判
triangle 三角形
trick 把戏
trip 旅游
trolleybus 无轨电车
troop 军队
trouble 困难
troublesome 引起麻烦的
trousers 裤子
truck 卡车
true 真实的
truly 真正地
trunk 树干;衣箱
trust 信赖
truth 事实
try 试图
tube 地铁
tune 曲调
turkey 火鸡
turning 弯曲
tutor 导师
twice 两倍
twin 双胞胎
twist 扭动；扭转
type 类型
typewriter 打字机
typhoon 台风
typical 典型的
typist 打字员
tyre 轮胎
ugly 难看的
umbrella 伞
unable 不能的
unbearable 不能忍的
unbelievable 不可相信的
uncertain 不确定
uncle 叔叔
uncomfortable 不舒服的
unconditional 无条件的
unconscious 失去知觉的
under 在…下面
underground 底下的
underline 在…下面
understand 理解
undertake 着手
underwear 内衣
unemployment 失业
unfair 不公正的
unfit 身体不适的
unfortunate 不幸的
uniform 制服
union 联合
unique 独一无二的
unit 单元
unite 联合；团结
universal 普遍的
universe 宇宙
university 大学
unless 除非
unlike 不同的
unrest 动乱
until 到…为止
unusual 独特的
unwilling 不愿意的
update 更新
upon 在…上面
upper 上部的
upset 使心烦
upstairs 在楼上
upward 向上的
urban 都市的
urge 鼓励；促使
urgent 急迫的
used 用过的
useful 有用的
useless 无用的
usual 通常的
vacant 空的
vacation 假期
vague 模糊的
vain 自负的；徒劳的
valid 有效的
valley 山谷
valuable 贵重的
value 价值
variety 种类
various 各不相同的
vase 花瓶
vast 巨大的
vegetable 蔬菜
vehicle 车辆
version 译文；看法
vertical 垂直的
vest 背心
via 经过；凭借
vice 堕落
victim 牺牲者
victory 胜利
video 录像带
videophone 可视电话
view 视力；视野
village 村庄
villager 村民
vinegar 醋
violate 冒犯；违反
violence 暴力
violent 暴力的
violin 小提琴
violinist 小提琴手
virtue 德行
virus 病毒
visa 签证
visit 参观
visitor 参观者
visual 视觉的
vital 极重要的
vivid 生动的
vocabulary 词汇
voice 说话声
volcano 火山
volleyball 排球
voluntary 自愿的
volunteer 志愿者
vote 投票
voyage 航行
wag 摇摆
wage 工资
waist 腰部
wait 等候
waiter 侍者
waitress 女服务生
wake 醒
walk 步行
wall 墙
wallet 钱夹
walnut 胡桃
wander 漫游
war 战争
ward 病房
warehouse 仓库
warm 暖和的
warmth 温暖
warn 警告
wash 洗
washroom 洗手间
waste 浪费
watermelon 西瓜
wave 波浪
wax 蜡
way 路
we 我们
weak 易损坏的
weakness 弱点
wealth 财产
wealthy 富有的
wear 穿
weather 天气
web 网
wedding 婚礼
weed 杂草
weekday 平日
weekend 周末
weekly 周刊
weep 哭泣
weigh 重量
weight 分量
welcome 欢迎
welfare 健康
west 西方
western 西方的
westward 向西行的
wet 湿的
whale 鲸鱼
whatever 任何事物
wheat 小麦
wheel 轮子
when 在那时
whenever 任何时候
where 在哪里
wherever 各处
whether 是否
whichever 无论哪个
while 在…期间
whisper 低声说
whistle 吹口哨
white 白色
whoever 无论谁
whole 整体的
whom 谁
whose 谁的
why 为什么
wide 宽的
widespread 分布广的
widow 寡妇
wife 妻子
wild 野生的
wildlife 野生生物
will 愿意
willing 愿意
win 赢
wind 风
window 窗户
windy 有风的
wine 葡萄酒
wing 翅膀
winner 优胜者
winter 冬天
wipe 擦拭
wire 电线
wisdom 智慧
wise 明智的
wish 祝愿
withdraw 取回
within 不超出
without 没有
witness 目击者
wolf 狼
woman 妇女
wonder 惊奇
wonderful 极好的
wool 羊毛
woollen 毛线的
word 单词
work 工作
worker 工作者
world 世界
worldwide 全世界
worm 虫
worn 破烂的
worried 焦虑的
worry 烦恼
worth 价值
worthwhile 值得的
worthy 应得的
would 将
wound 伤口
wrestle 摔跤；搏击
wrinkle 皱纹
wrist 腕关节
write 写
wrong 不正确的
yard 场院
yawn 哈欠
year 年
yell 叫喊
yellow 黄色的
yesterday 昨天
yoghurt 酸奶
young 年轻的
youth 青年时期
yummy 美味
zebra 斑马
zipper 拉链
zone 区域
zoo 动物园
zoom 猛涨
