rat 老鼠
snake 蛇
concrete 实体的
wealth 财产
hand 手
encourage 鼓励
swell 增强
good 好的
record 记录
pair 一对
package 包装
entry 进入
extraordinary 特别的；临时的
harmony 和谐
ton 吨
him 他
quite 完全地
attract 吸引
publish 出版；发布
uncertain 不确定
invitation 邀请
whose 谁的
enjoy 喜欢
conservative 保守的
stare 瞪视
spray 浪花；喷雾
money 钱
garden 花园
either 两者中任意一个
map 地图
theory 学说
noble 高贵的
nowhere 任何地方都不
produce 生产
sunburnt 晒黑的
shape 形状
too 也
receipt 收据
me 我
ski 滑雪
son 儿子
fur 软毛
date 日子
optimistic 乐观的
toothbrush 牙刷
cap 帽子
vote 投票
mirror 镜子
shoe 鞋
butcher 屠夫
specialist 专家
cake 蛋糕
bachelor 单身汉；学士
fruit 水果
tongue 舌头
pyramid 金字塔；棱锥
kite 风筝
carpenter 木工
supreme 最高的
cousin 堂兄弟
special 特殊的
somehow 某种方式
honest 老实的
generation 一代人
figure 数字；图表
capital 首都
friendship 友情
pencil 铅笔
lantern 灯笼
social 社会的
lame 蹩脚的；差劲的
drop 使落下
finger 手指
allocate 分配
boat 小船
farmer 农民
turning 弯曲
brochure 小册子
possess 占据
pull 拉
magic 魔法
save 拯救；贮存
goal 目标
schoolmate 同学
period 时期；句号
smooth 光滑的
wealthy 富有的
merely 仅仅
serious 严重的
dawn 拂晓
cup 杯子
consume 消费
pond 池塘
kind 亲切的
cough 咳嗽
mine 我的；矿
soccer 足球
politician 政客
anywhere 任何地方
second 第二
alphabet 字母表
ripe 成熟的
hopeless 绝望的
performer 表演者
steam 蒸汽
digital 数字式的
biography 传记
abundant 大量的
canteen 食堂
introduction 介绍
past 以前的
mature 成熟的；深思的
quiz 问答比赛
planet 行星
ourselves 我们亲自
start 开始
seashell 贝壳
insurance 保险
adventure 冒险；奇遇
enemy 敌人
appendix 附录；阑尾
cancel 取消
unite 联合；团结
damage 损害
rob 抢夺
method 方法
immediately 立即
fun 娱乐
brief 短暂的；摘要
electricity 电流
football 足球；橄榄球
exit 出口
morning 早上
liberty 自由
swim 游泳
assistant 助手
moral 道德上的
book 书籍
umbrella 伞
operation 操作
however 不管怎样
hunger 饥饿
order 命令
consult 考虑；商量
unusual 独特的
preserve 保护
headache 头痛
teach 教
palace 宫殿
desperate 孤注一掷的
accessible 易取得的
lay 放倒；躺下；下蛋
am 是
cause 起因
lemon 柠檬
motto 格言
stainless 无污点的；不锈钢的
slip 滑
mosquito 蚊子
small 小的
understand 理解
talent 天才
activity 活力
astonish 使惊讶
regardless 无论如何
training 训练
season 季节
although 虽然
fiction 小说
take 拿
key 钥匙
bonus 奖金
hard 硬的；坚实的
republic 共和国
railway 铁路
early 早的
final 最后的
sit 坐
adequate 充分的
accelerate 使加快
education 教育
voluntary 自愿的
desert 沙漠；舍弃
pollution 污染
pianist 钢琴家
via 经过；凭借
settlement 解决
receptionist 接待员
alongside 沿着边
out 出去；全部
arithmetic 算术
foresee 预见
dilemma 左右为难
madam 女士
purse 钱包；财产
exhibition 展览
popular 流行的
year 年
dynamic 有活力的
awkward 笨拙的
cabbage 卷心菜
conservation 保护
by 通过
leak 泄露
note 记录
strange 陌生的
inspect 检查
tube 地铁
symbol 象征；符号
sleepy 困的
acquaintance 熟人
slight 微小的
scan 审查；扫描
national 国家的
shopkeeper 店主
sky 天空
behalf 利益
engine 发动机
recover 恢复
fine 美好的；罚金
teacher 教师
accomplish 完成
explain 解释
tram 有轨电车
company 陪伴；公司
transport 运送
fellow 同伴
attend 参加
colour 颜色
bury 埋葬
purchase 购买
quake 震动
act 行动
follow 跟随
grocery 杂货店
crash 撞击
plane 飞机
systematic 有规律的
network 网络
fundamental 基本的
trade 商业
superior 较好的
hotdog 热狗
dial 打电话
complete 完整的
cheerful 高兴的
frontier 边境
battle 战斗
pause 停顿
warmth 温暖
ruler 直尺
mild 温柔的
explanation 解释
drawback 缺点
proud 自尊的
cigarette 香烟
strong 强壮的
tune 曲调
offer 提供
long 长的
thought 想法
absorb 吸收
mend 修理
invention 发明
victim 牺牲者
responsibility 责任
minister 部长
tell 告诉
sun 太阳
rot 腐烂
beside 在旁边
approval 赞成
radium 镭
pressure 压力
sorrow 悲痛
consider 考虑
diamond 钻石
drag 拖；拽
apply 应用
useless 无用的
register 记录
depth 深度
difference 差别
lack 缺少
sentence 句子
tend 照顾
announce 宣布
division 分开
initial 最初的
income 收入
all 所有的
fist 拳头
abolish 废除
stand 站立
bicycle 自行车
fear 害怕
engineer 工程师
arbitrary 随意的；专横的
spoonful 一匙量
hang 挂
tape 带子
particular 特定的；特别的
assistance 帮助
mail 邮政
hi 打招呼，嘿
settle 安排
forecast 预言
comment 评论
lady 女士
nursery 托儿所
radiation 辐射
passport 护照
prove 证明
road 路
house 房子
while 在…期间
row 一排
precious 宝贵的
arch 拱门
mass 大量
grape 葡萄
poison 毒药
statement 声明
mouth 嘴
merchant 商人
european 欧洲人
roundabout 绕道的
wish 祝愿
enlarge 扩大
aids 艾滋
abuse 滥用
narrow 狭窄的
grandparents 祖父母
action 行动
quality 质量
beach 海滩
acute 严重的
yesterday 昨天
general 普遍的
far 遥远的
celebration 庆祝
react 影响
elder 年长的
doctor 医生
stone 石头
loss 遗失
playground 操场
cheque 支票
sneeze 喷嚏
distinction 区别
gymnastics 体操；体育
concept 概念
excellent 优秀的
common 普遍的
commercial 商业的
demand 要求
presentation 提供；显示；表演
choir 唱诗队
white 白色
stateswoman 妇女政治家
southern 南方的
crossroads 在紧要关头
kitchen 厨房
hobby 业余爱好
preview 预习
win 赢
west 西方
hour 小时
haircut 理发
relay 接替；转达
humour 幽默
text 正文
possibility 可能性
literary 文学
effort 努力
sir 先生
shark 鲨鱼
art 艺术
grow 生长
forever 永远
banana 香蕉
opinion 意见
awake 醒着的
invite 邀请
administration 执行
slavery 奴隶身份
bishop 主教
diploma 执照
attractive 吸引的
between 在…之间
watermelon 西瓜
deadline 最后期限
car 汽车
elephant 大象
minimum 最小的
hammer 锤头
baby 婴儿
exchange 交换
kangaroo 袋鼠
crossing 十字路口
work 工作
ambition 雄心
base 基础
loaf 一条面包
president 主席
businesswoman 女商人
merry 欢乐的
minibus 小型公共汽车
insure 保证
drum 鼓
dark 黑暗的
mistaken 错误的
weak 易损坏的
hunter 猎人
rainy 下雨的
degree 度数
club 社团；俱乐部
scold 责骂
session 开会；学年
whom 谁
tomorrow 明天
cooker 厨具
process 过程
library 图书馆
beat 跳动；打败
neighbour 邻居
truth 事实
recent 不久前的
author 作者
dollar 元
abandon 放弃
beard 胡须
silk 丝
bc 公元前
tight 牢的
bat 球拍
victory 胜利
honey 蜂蜜
substitute 代替
themselves 它们自己
zipper 拉链
licence 执照
chapter 章；回
unique 独一无二的
hardly 几乎不
nut 干果
lawyer 律师
aware 知道的
being 生物
alcoholic 酒精的
vehicle 车辆
campaign 运动
upper 上部的
lamb 羔羊
track 足迹
branch 树枝；分支
large 巨大的
optional 可选择的
bacon 咸猪肉
whichever 无论哪个
fasten 栓牢
convey 运输
problem 问题
pilot 驾驶员
sickness 恶心
hardworking 刻苦的
atom 原子
eggplant 茄子
lip 嘴唇；边缘
rubbish 垃圾
hope 希望
embassy 大使馆
tin 锡
cost 价格；成本
pin 大头针
favour 喜爱
walnut 胡桃
entire 全部的
share 分享
experiment 实验
leave 留下
sugar 糖
bent 弯的
serve 向…供应
permit 许可
missile 导弹
pill 药片
earth 地球
upward 向上的
golf 高尔夫
sculpture 雕刻
fortnight 两星期
lend 借
fish 鱼肉
near 靠近
sound 声音
feel 感觉
successful 成功的
dry 干的
return 返回
only 唯一的
waist 腰部
trial 审判
ride 骑;乘
put 放;置
thorough 彻底的
and 和
green 绿色的
sideroad 人行道
rebuild 重建
around 在周围
bathtub 浴缸
conventional 依照惯例的
discovery 发现
communication 交流
illegal 不合法的
now 现在
wrist 腕关节
museum 博物馆
guidance 指导
rainfall 下雨
awful 糟糕的
cosy 温暖舒适的
tolerate 容许；忍受
rank 职衔
throw 投;掷
category 种类
illness 疾病
everywhere 到处
retell 重述
member 成员
petrol 汽油
bedroom 卧室
ceremony 仪式
balance 平衡
mustard 芥末
polish 使光滑
constant 忠诚的;不变的
uncle 叔叔
tiresome 令人生厌的
tailor 裁缝
disturbing 令人不安的
moment 瞬间
statue 雕像
moon 月亮
system 系统
bargain 讨价还价
energetic 精力充沛的
alcohol 酒精
expectation 期望
instrument 仪器
reliable 可靠的
equality 同等的
greeting 招呼
generous 慷慨的
shuttle 航天飞机
handkerchief 手帕
fog 雾
enterprise 事业
trunk 树干;衣箱
soft 软的
comb 梳理
useful 有用的
bride 新娘
oil 油
sudden 突然的
before 在…前面
sponsor 赞助
always 总是
candy 糖果
pavement 人行道
hit 打击
biscuit 饼干
table 桌子
modern 现代的
instruct 命令
without 没有
weight 分量
starvation 饥饿
city 都市
you 你
consistent 一致的
orange 橙
scream 尖叫
oceania 大洋洲
shelter 保护
characteristic 典型的
evident 明显的
inside 内部
trend 趋向
appreciate 感谢
fan 扇子
attempt 尝试
ankle 踝关节
spaceship 宇宙飞船
indeed 的确
carrot 胡萝卜
abrupt 突然的
curriculum 课程
depend 依靠
plan 计划
market 市场
eventually 终于
schedule 安排；时间表
cool 凉快的；冷静的
yummy 美味
strength 力量
fluent 流畅的
pedestrian 步行者
claw 爪
suit 一套衣服
party 社交聚会
set 放置
task 工作
seat 座位
school 学校
applaud 鼓掌
world 世界
furnished 有家具的
anger 怒气
seagull 海鸥
department 部门
bring 带来
cheese 干酪
press 压
sweep 打扫
panic 惊慌
pub 酒店
suspect 猜疑
prevent 预防
challenging 有挑战的
live 生存
bar 酒吧
pan 平底锅
corner 角落
temple 庙
pass 经过
real 真实的
frost 霜冻
trip 旅游
character 品质；特征
tyre 轮胎
race 人种
through 通过；在…之中
aspect 方位；面貌
novel 小说
permission 许可
wonder 惊奇
false 虚伪的
our 我们的
energy 活力
microscope 显微镜
grandchild 外孙
examination 考试
climate 气候
suggestion 建议
consultant 顾问
college 大学
pacific 和平的
shirt 衬衫
phenomenon 现象
cotton 棉花
organization 团体；组织
vase 花瓶
bleed 流血
cruel 残酷的
smoker 吸烟者
terrify 使恐怖
consist 组成
latter 后者的
advertise 公布
harbour 港口
mark 记号；标出
proper 适合的
empty 空的
curtain 窗帘
style 风格
restriction 约束
upon 在…上面
camera 照相机
loose 松的
university 大学
boot 长筒靴
melon 甜瓜
sour 酸的
border 边界
coat 外套
hear 听到
consideration 关心
open 开放的
anyone 任何人
rocket 火箭
ours 我们的
notebook 笔记簿
ambassadress 女大使
skillful 灵巧的
sale 出售
beer 啤酒
criterion 标准
translation 翻译
weep 哭泣
tiger 老虎
woollen 毛线的
have 有
hesitate 犹豫
weakness 弱点
balcony 阳台
armchair 扶手椅
extension 延伸
southwest 西南
function 作用
reading 读书
business 生意
ugly 难看的
connect 连接
cigar 雪茄
aboard 在船上
justice 正义
debt 债务
begin 开始
raw 生的；天然的
countryside 乡下
fry 油炸
wipe 擦拭
smile 微笑
fool 傻瓜
boom 猛涨
shaver 剃刀
erupt 爆发
brush 刷子
frog 蛙
this 这个
court 院子
evolution 进化；发展
insist 坚决要求
grand 壮丽的
admit 承认
split 使裂开
forbid 禁止
disaster 灾难
society 社团；社会
awesome 令人敬畏的
embarrass 使复杂化
provide 提供
vice 堕落
muddy 泥泞的
couple 一对
ant 蚂蚁
relax 使轻松
pocket 口袋
cheek 脸蛋
selfish 自私的
forget 忘记
balloon 气球
memory 记忆
dead 死去的
chocolate 巧克力
superb 杰出的
bee 蜜蜂
truly 真正地
valuable 贵重的
draft 草稿
scratch 抓
procedure 程序
be 在
should 应该
soap 肥皂
alley 小巷
religion 宗教
primary 首要的
punishment 处罚
granny 奶奶
mat 席子
waiter 侍者
include 包含
oval 椭圆的
finish 完成
flexible 灵活的
dustbin 垃圾箱
any 无论哪一个
top 顶部
stay 停留
souvenir 纪念品
left 左侧
bone 骨头
ability 能力
stomach 胃
basket 篮筐
available 可用的
regret 痛惜
ever 总是
anything 无论什么
ago 以前
previous 先前的；过早的
window 窗户
thrill 使兴奋
federal 联邦
bottom 底部
physicist 物理学家
accompany 陪伴
increase 增加
murder 谋杀
accumulate 积累
for 因为；在…
excite 使激动
bath 洗澡
traffic 交通
classic 优秀的；典型的
festival 节日
rather 相当
drill 钻头；训练
allergic 过敏的
insert 插入
fare 票
spear 鱼叉
theirs 他们的
conflict 战斗
lecture 演讲
even 甚至
chaos 混乱
youth 青年时期
fault 缺点
desk 书桌
list 目录
porridge 坐牢
tasteless 无味的
backward 向后地
suggest 建议
influence 影响
disagreement 分歧
virtue 德行
personal 私人的
guide 指导；引导
damp 潮湿的
future 未来的
cent 分
fold 折叠
over 在…正上方；再一次
golden 金色的
translator 翻译家
queen 女王
queue 行列
librarian 图书馆管理员
communism 共产主义
signal 信号；暗号
outgoing 开朗的
burglar 窃贼
deal 分配；交易
motor 马达
growth 生长
state 国家；政府
glass 玻璃
presence 出席
database 资料库
office 办公室
family 家庭
motorcycle 摩托车
ridiculous 可笑的
duck 鸭子
overcome 战胜
cafeteria 自助餐厅
motivation 动力
culture 文化
poet 诗人
preparation 预备
centimetre 厘米
gate 门
tortoise 乌龟
hospital 医院
they 他们
architect 建筑师
heavy 沉重的
chance 机会
messy 脏的
solar 太阳的
multiply 乘
plant 植物
film 电影
guitar 吉他
then 那时
sister 姐妹
count 计算；总数
experience 经验
once 一次
poem 诗
choice 挑选
quantity 数目
immigration 移民
inch 英尺
also 也
similar 相似的
outline 要点
ministry 部
remain 留下
grain 谷粒
baggage 行李
clerk 职员
withdraw 取回
idiom 习语
architecture 建筑学
alone 单独的
ward 病房
flame 火焰
thinking 思考
pot 罐
mailbox 邮箱
academic 学院的
bed 床位
hat 帽子
caution 小心
pepper 胡椒
afford 负担得起
bound 弹回；被束缚的
jewellery 首饰
dash 猛冲
lightning 闪电
stranger 陌生人
port 港口
nose 鼻子
customer 顾客
practice 练习
turkey 火鸡
meat 肉
tail 尾巴
situation 形势
position 方位
construct 建立
push 推
secretary 秘书
stain 染色；褪色
tension 紧张
schoolgirl 女学生
risk 冒险；风险
late 晚的
stamp 邮票；图案
absent 缺席的
challenge 挑战
shine 发光
cell 细胞
grade 等级
full 满的
collect 收集
minute 分钟
catalogue 目录
clarify 使清楚
fade 使褪去
sunny 阳光明媚的
worn 破烂的
roast 烤；嘲讽
picture 图画
horrible 可怕的
population 人口
nice 美好的
ad 公元
colleague 同事
speak 讲演
love 爱
child 孩子
achieve 取得
discover 发现
spin 杜撰；使旋转
adolescence 青春期
nurse 护士
active 活泼的
panda 熊猫
adore 爱慕
forgive 原谅
tire 使疲劳
cold 寒冷
earn 赚得
travel 旅行
distribute 分配
jungle 丛林
dull 迟钝的
clever 聪明的
dislike 不喜欢
pole 磁极
radio 收音机
former 过去的
careful 仔细的
employ 雇用
whistle 吹口哨
separation 分开
happiness 幸运
prayer 祈祷
underwear 内衣
pine 松树
downstairs 在楼下
dizzy 晕眩的
space 空间
cocoa 可可
abnormal 反常的
young 年轻的
passage 通道
sideways 斜着
cube 立方体
extra 额外的
tool 工具
show 表现出
plot 故事情节；计划；密谋
express 表示
southeast 东南
girl 少女
cave 洞穴
ache 疼痛
monkey 猴子
target 靶子；对象
mr 先生
ambulance 救护车
unless 除非
noon 正午
range 变化；一系列
shake 摇动
vocabulary 词汇
miss 失败；没击中…
dessert 甜食
painful 痛苦的
connection 连接
true 真实的
casual 漠不关心的
strengthen 加固
circumstance 环境；情况
knee 膝盖
tank 坦克
handful 一把
gram 克
during 在…期间
correct 正确的
importance 重要性
wheat 小麦
ahead 在前面
joke 笑话
coffee 咖啡
shock 震动
punctual 正点的
leg 腿
ink 墨水
brake 刹车；制动
its 它的
anybody 任何人
washroom 洗手间
sex 性别
holiday 假期
downtown 闹市区的
mountainous 多山的
organise 组织
strawberry 草莓
starve 饥饿
expect 预期
worthwhile 值得的
candle 蜡烛
obey 服从
geometry 几何
doubt 怀疑
ballet 芭蕾
web 网
housewife 家庭主妇
role 作用
roll 滚动
wrinkle 皱纹
tap 塞子；拍
make 做
eye 眼
traveller 旅行者
neat 整洁的
where 在哪里
almost 几乎
ask 问
laundry 洗衣房
move 移动
labour 劳动
feast 盛会
swallow 吞；咽
pen 钢笔
award 奖金
handy 手边的
reporter 记者
relate 讲述
stubborn 顽固的
identify 认出
entrance 入口
forest 森林
remember 记得
lemonade 柠檬汽水
dusty 轻率的回答
delight 快乐
westward 向西行的
litter 垃圾
imagine 想象
support 支持
machine 机器
charge 命令
fancy 幻想
end 最终
disabled 残废的
associate 伙伴
entertainment 娱乐
fond 喜欢的
porter 搬运工
hate 恨
appointment 约会
woman 妇女
class 课
album 相册
delighted 喜欢的
fork 叉子
promote 提升
doll 玩偶
cry 哭；叫
bright 光亮的
deliver 递送
catastrophe 灾难
comfortable 安逸的
portable 手提的
not 不
retire 退休
visitor 参观者
ecology 生态
own 自己的；拥有
recipe 方法
history 历史
luck 幸运
visa 签证
unfortunate 不幸的
achievement 成就
rabbit 兔子
programme 节目
sofa 沙发
battery 电池
postman 邮差
electrical 用电的
talk 说话
mercy 宽容
iron 铁
present 出席的；现在
baseball 棒球
strict 严格的
bare 赤裸的
airline 航空公司
comedy 喜剧
century 世纪
dear 亲爱的
apron 围裙
flat 平的；套房
assist 帮助
sport 运动
politics 政治学
fly 飞
actor 演员
farm 农场
song 歌
outing 远足
belly 肚子
typist 打字员
policy 政策
float 浮动
buffet 反复敲打
settler 移民
headmaster 男校长
happy 高兴
catch 抓
medium 中等的
steward 服务员
riddle 谜
bear 忍受
nearby 附近的
mess 弄乱
paperwork 文书工作
flu 流感
supply 供给
model 模型
mist 薄雾；模糊
popcorn 爆米花
corn 谷物
old 老的
chew 咀嚼
exact 准确的
aircraft 飞机
view 视力；视野
hydrogen 氢
astronomy 天文学
cupboard 柜橱
rule 规则
flower 花
project 规划；课题
test 测验
represent 表现；代表
shallow 浅的
weekday 平日
document 公文
thank 谢谢
purpose 目的
step 脚步
bark 大叫
overweight 超重的
tower 塔
direct 笔直的
liquid 液体
worm 虫
hello 喂
hamburger 汉堡
chorus 合唱
stove 火炉
reputation 名气
sweater 毛衣
affect 影响
windy 有风的
may 也许
niece 侄女
regulation 管理；规则
soul 灵魂
eyesight 视力
brick 砖块
till 直到…为止
harm 损害
ambassador 大使
sailor 水手
egg 蛋
wind 风
tourist 旅行者
mountain 山
gallery 画廊
clone 克隆
mushroom 蘑菇
northwest 西北
needle 针
tie 领带
trolleybus 无轨电车
committee 委员会
in 里面
lap 膝
warm 暖和的
cyclist 骑自行车的人
widow 寡妇
shall 必将
yawn 哈欠
afternoon 下午
buddhism 佛教
timetable 时间计划表
chairman 主席
are 是
funny 滑稽的
decorate 装饰
edge 边缘
file 提交；文件
boycott 抵制
underline 在…下面
technique 技巧
childhood 童年
blood 血液
pound 英镑
crop 庄家
celebrate 庆祝
absolute 绝对的
describe 描写
sock 短袜
breathless 呼气困难的
liberation 解放
knife 刀
rose 玫瑰
custom 习惯
resemble 像…
bye 再见
graph 图表
worried 焦虑的
salute 欢迎，赞扬
amount 数量
ignore 忽视
whoever 无论谁
barbecue 烧烤
delicious 美味的
summer 夏天
rich 贵重的
telescope 望远镜
abroad 到国外
beef 牛肉
accuse 指责
sleeve 套管
body 身体
navy 海军
basin 盆
say 说
dusk 傍晚
student 学生
steel 钢；使坚定
friendly 友好的
music 音乐
altitude 高度
sure 无疑的
wrestle 摔跤；搏击
it 它
treat 款待
wonderful 极好的
probably 大概
button 按钮
force 力量；强制
ambiguous 含糊不清的
bridegroom 新郎
really 真正地
gentleman 绅士
giraffe 长颈鹿
possession 占有
boil 煮沸
telephone 电话
recycle 回收
cloth 布料
shoulder 肩部
park 公园
confirm 证实
compare 比较
answer 回答
mankind 人类
wolf 狼
danger 危险
hug 拥抱
camel 骆驼
shortcoming 缺点
river 河
about 关于
tear 泪水
antique 古董
thing 东西
unbearable 不能忍的
sneaker 运动鞋
circus 马戏
familiar 熟悉的
still 仍旧
pretend 假装
beddings 卧具
whatever 任何事物
amaze 使惊奇
vacant 空的
suffer 容忍；受痛苦
atlantic 大西洋
flood 洪水
devotion 奉献
wedding 婚礼
rush 催促；冲
difficulty 困难
friction 摩擦
king 国王
schoolbag 书包
urge 鼓励；促使
screen 遮蔽；屏风
cast 投；掷
steak 牛排
parcel 包囊
square 正方形
warn 警告
lock 锁
under 在…下面
debate 讨论
tough 坚韧的
design 设计
corporation 公司
negotiate 协商
new 新的
tip 末端；倾斜
modest 谦虚的
association 社团
adopt 采用
constitution 法规；设立
curious 好奇的
medal 奖牌
taxi 出租车
arrangement 安排
packet 小包
pour 倾；倒
group 组
crayon 蜡笔
musical 音乐的
angry 生气的
boundary 分界线
spokesman 发言人
lonely 孤独的
though 虽然
academy 学会
their 他们的
outspoken 直言的
length 长度
thick 厚的；茂密的；明显的
wing 翅膀
myself 我自己
digest 消化；文摘
plenty 大量
fair 公平的
squeeze 挤出；拥挤
product 产品
mention 提到
coach 训练；教练
suitable 适当的
kid 孩子
lion 狮子
straightforward 笔直向前
there 在那里
educate 教育
calm 冷静的
fridge 冰箱
refrigerator 冰箱
distance 距离
relative 亲戚
satisfaction 满足
village 村庄
television 电视
